icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,true_track,vertical_rate,sensors,geo_altitude,squawk,spi,position_source,epoch_time,date,time
a4b41c,AAL655  ,United States,1659915688.0,1659915689,-111.2122,33.5706,7299.96,False,199.97,62.25,9.1,,7757.16,,False,0,1659915689,2022-08-07,19:41:29
3965af,AFR650  ,France,1659915689.0,1659915689,-79.6659,25.832,10972.8,False,251.69,236.5,0.0,,11597.64,,False,0,1659915689,2022-08-07,19:41:29
8964be,ETD39B  ,United Arab Emirates,1659915671.0,1659915672,54.7448,24.5119,2872.74,False,159.69,306.35,12.35,,2948.94,,False,0,1659915689,2022-08-07,19:41:29
c049e9,SWG435  ,Canada,1659915688.0,1659915689,-73.7282,41.9223,10972.8,False,218.58,354.6,-0.33,,11635.74,2743,False,0,1659915689,2022-08-07,19:41:29
8964bc,ETD99E  ,United Arab Emirates,1659915687.0,1659915689,54.554,24.6406,3581.4,False,185.72,306.55,4.88,,3718.56,,False,0,1659915689,2022-08-07,19:41:29
a60751,N488LF  ,United States,1659915688.0,1659915688,-75.6969,40.7302,655.32,False,66.35,326.06,0.0,,701.04,,False,0,1659915689,2022-08-07,19:41:29
c07f37,WEN3191 ,Canada,1659915687.0,1659915689,-115.4498,52.063,7307.58,False,164.54,325.32,0.0,,7658.1,,False,0,1659915689,2022-08-07,19:41:29
841fbc,APJ500  ,Japan,1659915568.0,1659915679,137.7529,33.2089,11887.2,False,208.77,70.27,-0.65,,12725.4,0404,False,0,1659915689,2022-08-07,19:41:29
4077d3,VIR92   ,United Kingdom,1659915689.0,1659915689,-79.797,28.5361,7940.04,False,229.17,74.37,6.5,,8404.86,0732,False,0,1659915689,2022-08-07,19:41:29
4064a1,TOM2PK  ,United Kingdom,1659915689.0,1659915689,8.0205,51.4063,11582.4,False,216.39,289.3,0.0,,11978.64,3556,False,0,1659915689,2022-08-07,19:41:29
a4b420,ASA792  ,United States,1659915688.0,1659915688,-94.5412,44.6654,10363.2,False,218.65,288.09,0.0,,10988.04,4507,False,0,1659915689,2022-08-07,19:41:29
a4b421,BLK51   ,United States,1659915689.0,1659915689,-115.4738,32.3623,10988.04,False,225.97,332.33,0.33,,11650.98,,False,0,1659915689,2022-08-07,19:41:29
a03f1e,DAL929  ,United States,1659915689.0,1659915689,-87.4125,38.7708,10668.0,False,152.96,160.35,9.75,,10782.3,,False,0,1659915689,2022-08-07,19:41:29
a4b423,VAR957  ,United States,1659915662.0,1659915662,-113.2674,33.5549,1988.82,False,68.01,280.46,-0.65,,2087.88,,False,0,1659915689,2022-08-07,19:41:29
e48f6b,AZU2872 ,Brazil,1659915688.0,1659915689,-35.223,-8.5696,3528.06,False,102.61,223.78,3.58,,3726.18,,False,0,1659915689,2022-08-07,19:41:29
